Rating,Komentar,Review,text_clean,text_CaseFolding,text_Tokenized,text_Stopwords,text_Stemmed,text_normalized_stemmed
1,"wkwkwk fitur pro nya udh makin ga ketolong. apalagi fitur HD yg sebenernya hampir ga ngaruh sama sekali ke videonya itu tetep dibikin *pro*. malah lebih bagus fitur HD di apk wink walau jernihnya ga natural tapi bener² kerasa bedanya. *iklan yg ditampilkan dalam aplikasi ini* aku kasih bintang 5, soalnya ganggu banget.","wkwkwk fitur pro nya udh makin ga ketolong. apalagi fitur HD yg sebenernya hampir ga ngaruh sama sekali ke videonya itu tetep dibikin *pro*. malah lebih bagus fitur HD di apk wink walau jernihnya ga natural tapi bener² kerasa bedanya. *iklan yg ditampilkan dalam aplikasi ini* aku kasih bintang 5, soalnya ganggu banget.",wkwkwk fitur pro nya udh makin ga ketolong apalagi fitur HD yg sebenernya hampir ga ngaruh sama sekali ke videonya itu tetep dibikin pro malah lebih bagus fitur HD di apk wink walau jernihnya ga natural tapi bener kerasa bedanya iklan yg ditampilkan dalam aplikasi ini aku kasih bintang  soalnya ganggu banget,wkwkwk fitur pro nya udh makin ga ketolong apalagi fitur hd yg sebenernya hampir ga ngaruh sama sekali ke videonya itu tetep dibikin pro malah lebih bagus fitur hd di apk wink walau jernihnya ga natural tapi bener kerasa bedanya iklan yg ditampilkan dalam aplikasi ini aku kasih bintang  soalnya ganggu banget,"['wkwkwk', 'fitur', 'pro', 'nya', 'udh', 'makin', 'ga', 'ketolong', 'apalagi', 'fitur', 'hd', 'yg', 'sebenernya', 'hampir', 'ga', 'ngaruh', 'sama', 'sekali', 'ke', 'videonya', 'itu', 'tetep', 'dibikin', 'pro', 'malah', 'lebih', 'bagus', 'fitur', 'hd', 'di', 'apk', 'wink', 'walau', 'jernihnya', 'ga', 'natural', 'tapi', 'bener', 'kerasa', 'bedanya', 'iklan', 'yg', 'ditampilkan', 'dalam', 'aplikasi', 'ini', 'aku', 'kasih', 'bintang', 'soalnya', 'ganggu', 'banget']","['wkwkwk', 'fitur', 'pro', 'nya', 'udh', 'ga', 'ketolong', 'fitur', 'hd', 'yg', 'sebenernya', 'ga', 'ngaruh', 'videonya', 'tetep', 'dibikin', 'pro', 'bagus', 'fitur', 'hd', 'apk', 'wink', 'jernihnya', 'ga', 'natural', 'bener', 'kerasa', 'bedanya', 'iklan', 'yg', 'ditampilkan', 'aplikasi', 'kasih', 'bintang', 'ganggu', 'banget']",wkwkwk fitur pro nya udh ga tolong fitur hd yg sebenernya ga ngaruh video tetep bikin pro bagus fitur hd apk wink jernih ga natural bener rasa beda iklan yg tampil aplikasi kasih bintang ganggu banget,wkwkwk fitur pro nya udh gak tolong fitur yang sebenernya gak ngaruh video tetep bikin pro bagus fitur aplikasi wink jernih gak natural bener rasa beda iklan yang tampil aplikasi kasih bintang gangu banget
5,mudah dan bagus,mudah dan bagus,mudah dan bagus,mudah dan bagus,"['mudah', 'dan', 'bagus']","['mudah', 'bagus']",mudah bagus,mudah bagus
3,meskipun banyak fitur pro tapi saya masih bisa edit,meskipun banyak fitur pro tapi saya masih bisa edit,meskipun banyak fitur pro tapi saya masih bisa edit,meskipun banyak fitur pro tapi saya masih bisa edit,"['meskipun', 'banyak', 'fitur', 'pro', 'tapi', 'saya', 'masih', 'bisa', 'edit']","['fitur', 'pro', 'edit']",fitur pro edit,fitur pro edit
3,... must pay ...,... must pay ..., must pay , must pay ,"['must', 'pay']","['must', 'pay']",must pay,must pay
2,Sekarang malah kebanyakan yg pro jadinya sulit,Sekarang malah kebanyakan yg pro jadinya sulit,Sekarang malah kebanyakan yg pro jadinya sulit,sekarang malah kebanyakan yg pro jadinya sulit,"['sekarang', 'malah', 'kebanyakan', 'yg', 'pro', 'jadinya', 'sulit']","['kebanyakan', 'yg', 'pro', 'sulit']",banyak yg pro sulit,banyak yang pro sulit
5,gua pake ini dari kecil jadi di kasih bintang 5 aja tapi sekarang ngak karena capcut mb nya mulai berat jadinya hp daya patah patah tolong di per barui yah biar rame yang donwload sekian terimakasih,gua pake ini dari kecil jadi di kasih bintang 5 aja tapi sekarang ngak karena capcut mb nya mulai berat jadinya hp daya patah patah tolong di per barui yah biar rame yang donwload sekian terimakasih,gua pake ini dari kecil jadi di kasih bintang  aja tapi sekarang ngak karena capcut mb nya mulai berat jadinya hp daya patah patah tolong di per barui yah biar rame yang donwload sekian terimakasih,gua pake ini dari kecil jadi di kasih bintang  aja tapi sekarang ngak karena capcut mb nya mulai berat jadinya hp daya patah patah tolong di per barui yah biar rame yang donwload sekian terimakasih,"['gua', 'pake', 'ini', 'dari', 'kecil', 'jadi', 'di', 'kasih', 'bintang', 'aja', 'tapi', 'sekarang', 'ngak', 'karena', 'capcut', 'mb', 'nya', 'mulai', 'berat', 'jadinya', 'hp', 'daya', 'patah', 'patah', 'tolong', 'di', 'per', 'barui', 'yah', 'biar', 'rame', 'yang', 'donwload', 'sekian', 'terimakasih']","['gua', 'pake', 'kasih', 'bintang', 'aja', 'ngak', 'capcut', 'mb', 'nya', 'berat', 'hp', 'daya', 'patah', 'patah', 'tolong', 'barui', 'yah', 'biar', 'rame', 'donwload', 'sekian', 'terimakasih']",gua pake kasih bintang aja ngak capcut mb nya berat hp daya patah patah tolong baru yah biar rame donwload sekian terimakasih,gua pake kasih bintang aja ngak capcut nya berat daya patah patah tolong baru yah biar rame donwload sekian terimakasih
1,"Aplikasi Macam Apa ini Hampir Semua fitur pro Kalau Kita Crop Digalery Post diyoutube kualitasnya jelek,Capcut memang Aplikasi Yang saya tidak Suka karena pro terus,Capcut hanya Manis diawal saja,Tapi diakhir malah Dikasih Pro semua Memang Keterlaluan Capcut ini Gw berharap Capcut Kembaliin semuanya Jadi Free lagi","Aplikasi Macam Apa ini Hampir Semua fitur pro Kalau Kita Crop Digalery Post diyoutube kualitasnya jelek,Capcut memang Aplikasi Yang saya tidak Suka karena pro terus,Capcut hanya Manis diawal saja,Tapi diakhir malah Dikasih Pro semua Memang Keterlaluan Capcut ini Gw berharap Capcut Kembaliin semuanya Jadi Free lagi",Aplikasi Macam Apa ini Hampir Semua fitur pro Kalau Kita Crop Digalery Post diyoutube kualitasnya jelekCapcut memang Aplikasi Yang saya tidak Suka karena pro terusCapcut hanya Manis diawal sajaTapi diakhir malah Dikasih Pro semua Memang Keterlaluan Capcut ini Gw berharap Capcut Kembaliin semuanya Jadi Free lagi,aplikasi macam apa ini hampir semua fitur pro kalau kita crop digalery post diyoutube kualitasnya jelekcapcut memang aplikasi yang saya tidak suka karena pro teruscapcut hanya manis diawal sajatapi diakhir malah dikasih pro semua memang keterlaluan capcut ini gw berharap capcut kembaliin semuanya jadi free lagi,"['aplikasi', 'macam', 'apa', 'ini', 'hampir', 'semua', 'fitur', 'pro', 'kalau', 'kita', 'crop', 'digalery', 'post', 'diyoutube', 'kualitasnya', 'jelekcapcut', 'memang', 'aplikasi', 'yang', 'saya', 'tidak', 'suka', 'karena', 'pro', 'teruscapcut', 'hanya', 'manis', 'diawal', 'sajatapi', 'diakhir', 'malah', 'dikasih', 'pro', 'semua', 'memang', 'keterlaluan', 'capcut', 'ini', 'gw', 'berharap', 'capcut', 'kembaliin', 'semuanya', 'jadi', 'free', 'lagi']","['aplikasi', 'fitur', 'pro', 'crop', 'digalery', 'post', 'diyoutube', 'kualitasnya', 'jelekcapcut', 'aplikasi', 'suka', 'pro', 'teruscapcut', 'manis', 'diawal', 'sajatapi', 'diakhir', 'dikasih', 'pro', 'capcut', 'gw', 'berharap', 'capcut', 'kembaliin', 'free']",aplikasi fitur pro crop digalery post diyoutube kualitas jelekcapcut aplikasi suka pro teruscapcut manis awal sajatapi akhir kasih pro capcut gw harap capcut kembaliin free,aplikasi fitur pro crop digalery post diyoutube kualitas jelekcapcut aplikasi suka pro teruscapcut manis awal sajatapi akhir kasih pro capcut harap capcut kembalin fre
3,"bagus, cuma apa-apa harus pro, capcut skarang kebelet haji njir, apa"" pro apa"" pro, muak bgt, font yang estetik+sering gue pake pro semua, tolong jangan kebanyakan pro, mana harus standar lagi. masa kita harus ngabisin uang kita cuma buat pro/standar capcut? buang"" uang aja, sekalian noh proin export+downloadnya, muak bngt anjeng.","bagus, cuma apa-apa harus pro, capcut skarang kebelet haji njir, apa"" pro apa"" pro, muak bgt, font yang estetik+sering gue pake pro semua, tolong jangan kebanyakan pro, mana harus standar lagi. masa kita harus ngabisin uang kita cuma buat pro/standar capcut? buang"" uang aja, sekalian noh proin export+downloadnya, muak bngt anjeng.",bagus cuma apaapa harus pro capcut skarang kebelet haji njir apa pro apa pro muak bgt font yang estetiksering gue pake pro semua tolong jangan kebanyakan pro mana harus standar lagi masa kita harus ngabisin uang kita cuma buat prostandar capcut buang uang aja sekalian noh proin exportdownloadnya muak bngt anjeng,bagus cuma apaapa harus pro capcut skarang kebelet haji njir apa pro apa pro muak bgt font yang estetiksering gue pake pro semua tolong jangan kebanyakan pro mana harus standar lagi masa kita harus ngabisin uang kita cuma buat prostandar capcut buang uang aja sekalian noh proin exportdownloadnya muak bngt anjeng,"['bagus', 'cuma', 'apaapa', 'harus', 'pro', 'capcut', 'skarang', 'kebelet', 'haji', 'njir', 'apa', 'pro', 'apa', 'pro', 'muak', 'bgt', 'font', 'yang', 'estetiksering', 'gue', 'pake', 'pro', 'semua', 'tolong', 'jangan', 'kebanyakan', 'pro', 'mana', 'harus', 'standar', 'lagi', 'masa', 'kita', 'harus', 'ngabisin', 'uang', 'kita', 'cuma', 'buat', 'prostandar', 'capcut', 'buang', 'uang', 'aja', 'sekalian', 'noh', 'proin', 'exportdownloadnya', 'muak', 'bngt', 'anjeng']","['bagus', 'apaapa', 'pro', 'capcut', 'skarang', 'kebelet', 'haji', 'njir', 'pro', 'pro', 'muak', 'bgt', 'font', 'estetiksering', 'gue', 'pake', 'pro', 'tolong', 'kebanyakan', 'pro', 'standar', 'ngabisin', 'uang', 'prostandar', 'capcut', 'buang', 'uang', 'aja', 'noh', 'proin', 'exportdownloadnya', 'muak', 'bngt', 'anjeng']",bagus apaapa pro capcut skarang kebelet haji njir pro pro muak bgt font estetiksering gue pake pro tolong banyak pro standar ngabisin uang prostandar capcut buang uang aja noh proin exportdownloadnya muak bngt anjeng,bagus apapa pro capcut skarang kebelet haji njir pro pro muak banget font estetiksering gue pake pro tolong banyak pro standar ngabisin uang prostandar capcut buang uang aja noh proin exportdownloadnya muak bngt anjeng
5,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,bagus banget
5,🫰👍,🫰👍,,,[],[],,nan
1,"apaan ini udahn standar semua , sinyal. lancar jaya pas mau make template malah mentok dj 30% bjirr","apaan ini udahn standar semua , sinyal. lancar jaya pas mau make template malah mentok dj 30% bjirr",apaan ini udahn standar semua  sinyal lancar jaya pas mau make template malah mentok dj  bjirr,apaan ini udahn standar semua  sinyal lancar jaya pas mau make template malah mentok dj  bjirr,"['apaan', 'ini', 'udahn', 'standar', 'semua', 'sinyal', 'lancar', 'jaya', 'pas', 'mau', 'make', 'template', 'malah', 'mentok', 'dj', 'bjirr']","['udahn', 'standar', 'sinyal', 'lancar', 'jaya', 'pas', 'make', 'template', 'mentok', 'dj', 'bjirr']",udahn standar sinyal lancar jaya pas make template mentok dj bjirr,udahn standar sinyal lancar jaya pas make template mentok bjir
1,berbayar,berbayar,berbayar,berbayar,['berbayar'],['berbayar'],bayar,bayar
1,"banyak iklan,dan iklannya tidak baik untuk anak anak, dan banyak yang berbayar, dan durasi iklannya panjang, tolong bantu hilangkan iklannya.","banyak iklan,dan iklannya tidak baik untuk anak anak, dan banyak yang berbayar, dan durasi iklannya panjang, tolong bantu hilangkan iklannya.",banyak iklandan iklannya tidak baik untuk anak anak dan banyak yang berbayar dan durasi iklannya panjang tolong bantu hilangkan iklannya,banyak iklandan iklannya tidak baik untuk anak anak dan banyak yang berbayar dan durasi iklannya panjang tolong bantu hilangkan iklannya,"['banyak', 'iklandan', 'iklannya', 'tidak', 'baik', 'untuk', 'anak', 'anak', 'dan', 'banyak', 'yang', 'berbayar', 'dan', 'durasi', 'iklannya', 'panjang', 'tolong', 'bantu', 'hilangkan', 'iklannya']","['iklandan', 'iklannya', 'anak', 'anak', 'berbayar', 'durasi', 'iklannya', 'tolong', 'bantu', 'hilangkan', 'iklannya']",iklandan iklan anak anak bayar durasi iklan tolong bantu hilang iklan,iklandan iklan anak anak bayar durasi iklan tolong bantu hilang iklan
3,bnyak iklan ga kek dulu,bnyak iklan ga kek dulu,bnyak iklan ga kek dulu,bnyak iklan ga kek dulu,"['bnyak', 'iklan', 'ga', 'kek', 'dulu']","['bnyak', 'iklan', 'ga', 'kek']",bnyak iklan ga kek,bnyak iklan gak kek
5,baguss josjis,baguss josjis,baguss josjis,baguss josjis,"['baguss', 'josjis']","['baguss', 'josjis']",baguss josjis,bagus josjis
5,"Tolong Suka Nge Blank, Kurangi Iklan, Jangan Terlalu Banyak Berbayar nya lah, Perbaiki Bug Nya","Tolong Suka Nge Blank, Kurangi Iklan, Jangan Terlalu Banyak Berbayar nya lah, Perbaiki Bug Nya",Tolong Suka Nge Blank Kurangi Iklan Jangan Terlalu Banyak Berbayar nya lah Perbaiki Bug Nya,tolong suka nge blank kurangi iklan jangan terlalu banyak berbayar nya lah perbaiki bug nya,"['tolong', 'suka', 'nge', 'blank', 'kurangi', 'iklan', 'jangan', 'terlalu', 'banyak', 'berbayar', 'nya', 'lah', 'perbaiki', 'bug', 'nya']","['tolong', 'suka', 'nge', 'blank', 'kurangi', 'iklan', 'berbayar', 'nya', 'perbaiki', 'bug', 'nya']",tolong suka nge blank kurang iklan bayar nya baik bug nya,tolong suka nge blank kurang iklan bayar nya baik bug nya
5,bagus ada quotes nya,bagus ada quotes nya,bagus ada quotes nya,bagus ada quotes nya,"['bagus', 'ada', 'quotes', 'nya']","['bagus', 'quotes', 'nya']",bagus quotes nya,bagus quotes nya
5,makin sukses makin pelit ini capcut,makin sukses makin pelit ini capcut,makin sukses makin pelit ini capcut,makin sukses makin pelit ini capcut,"['makin', 'sukses', 'makin', 'pelit', 'ini', 'capcut']","['sukses', 'pelit', 'capcut']",sukses pelit capcut,sukses pelit capcut
1,ngerekam suara ada suara anginnya padahal baru pertama download langsung uninstall payah ni capcut,ngerekam suara ada suara anginnya padahal baru pertama download langsung uninstall payah ni capcut,ngerekam suara ada suara anginnya padahal baru pertama download langsung uninstall payah ni capcut,ngerekam suara ada suara anginnya padahal baru pertama download langsung uninstall payah ni capcut,"['ngerekam', 'suara', 'ada', 'suara', 'anginnya', 'padahal', 'baru', 'pertama', 'download', 'langsung', 'uninstall', 'payah', 'ni', 'capcut']","['ngerekam', 'suara', 'suara', 'anginnya', 'download', 'langsung', 'uninstall', 'payah', 'ni', 'capcut']",ngerekam suara suara angin download langsung uninstall payah ni capcut,ngerekam suara suara angin download langsung uninstal payah capcut
5,bguss tapi punyaku g bisa didownload,bguss tapi punyaku g bisa didownload,bguss tapi punyaku g bisa didownload,bguss tapi punyaku g bisa didownload,"['bguss', 'tapi', 'punyaku', 'g', 'bisa', 'didownload']","['bguss', 'punyaku', 'g', 'didownload']",bguss punya g didownload,bgus punya didownload
1,kenapa harus berbayar sih? sangat menyusahkan,kenapa harus berbayar sih? sangat menyusahkan,kenapa harus berbayar sih sangat menyusahkan,kenapa harus berbayar sih sangat menyusahkan,"['kenapa', 'harus', 'berbayar', 'sih', 'sangat', 'menyusahkan']","['berbayar', 'sih', 'menyusahkan']",bayar sih susah,bayar sih susah
4,"suka ngelek, tapi bagus aplikasi nya, banyak iklan tolong kurangin iklan ny","suka ngelek, tapi bagus aplikasi nya, banyak iklan tolong kurangin iklan ny",suka ngelek tapi bagus aplikasi nya banyak iklan tolong kurangin iklan ny,suka ngelek tapi bagus aplikasi nya banyak iklan tolong kurangin iklan ny,"['suka', 'ngelek', 'tapi', 'bagus', 'aplikasi', 'nya', 'banyak', 'iklan', 'tolong', 'kurangin', 'iklan', 'ny']","['suka', 'ngelek', 'bagus', 'aplikasi', 'nya', 'iklan', 'tolong', 'kurangin', 'iklan', 'ny']",suka ngelek bagus aplikasi nya iklan tolong rangin iklan ny,suka ngelek bagus aplikasi nya iklan tolong rangin iklan
3,"semuanya oke aja sih cuman jujur lumayan risih sama video yang ditampilin di template. aku kadang sering scroll template buat cari yang bagus tapi malahan ketemu video yang udah sering bahkan banget ditonton dan ga sesuai sama yang ditampilin diberanda template. mending kalo sekali dua kali muncul ini udah DUA BULAN jadi dah muak banget, mohon di perbaiki dev. saran lainnya? jangan bikin hampir semua fitur itu premium, itu ngerepotin banget.","semuanya oke aja sih cuman jujur lumayan risih sama video yang ditampilin di template. aku kadang sering scroll template buat cari yang bagus tapi malahan ketemu video yang udah sering bahkan banget ditonton dan ga sesuai sama yang ditampilin diberanda template. mending kalo sekali dua kali muncul ini udah DUA BULAN jadi dah muak banget, mohon di perbaiki dev. saran lainnya? jangan bikin hampir semua fitur itu premium, itu ngerepotin banget.",semuanya oke aja sih cuman jujur lumayan risih sama video yang ditampilin di template aku kadang sering scroll template buat cari yang bagus tapi malahan ketemu video yang udah sering bahkan banget ditonton dan ga sesuai sama yang ditampilin diberanda template mending kalo sekali dua kali muncul ini udah DUA BULAN jadi dah muak banget mohon di perbaiki dev saran lainnya jangan bikin hampir semua fitur itu premium itu ngerepotin banget,semuanya oke aja sih cuman jujur lumayan risih sama video yang ditampilin di template aku kadang sering scroll template buat cari yang bagus tapi malahan ketemu video yang udah sering bahkan banget ditonton dan ga sesuai sama yang ditampilin diberanda template mending kalo sekali dua kali muncul ini udah dua bulan jadi dah muak banget mohon di perbaiki dev saran lainnya jangan bikin hampir semua fitur itu premium itu ngerepotin banget,"['semuanya', 'oke', 'aja', 'sih', 'cuman', 'jujur', 'lumayan', 'risih', 'sama', 'video', 'yang', 'ditampilin', 'di', 'template', 'aku', 'kadang', 'sering', 'scroll', 'template', 'buat', 'cari', 'yang', 'bagus', 'tapi', 'malahan', 'ketemu', 'video', 'yang', 'udah', 'sering', 'bahkan', 'banget', 'ditonton', 'dan', 'ga', 'sesuai', 'sama', 'yang', 'ditampilin', 'diberanda', 'template', 'mending', 'kalo', 'sekali', 'dua', 'kali', 'muncul', 'ini', 'udah', 'dua', 'bulan', 'jadi', 'dah', 'muak', 'banget', 'mohon', 'di', 'perbaiki', 'dev', 'saran', 'lainnya', 'jangan', 'bikin', 'hampir', 'semua', 'fitur', 'itu', 'premium', 'itu', 'ngerepotin', 'banget']","['oke', 'aja', 'sih', 'cuman', 'jujur', 'lumayan', 'risih', 'video', 'ditampilin', 'template', 'kadang', 'scroll', 'template', 'cari', 'bagus', 'ketemu', 'video', 'udah', 'banget', 'ditonton', 'ga', 'sesuai', 'ditampilin', 'diberanda', 'template', 'mending', 'kalo', 'kali', 'muncul', 'udah', 'dah', 'muak', 'banget', 'mohon', 'perbaiki', 'dev', 'saran', 'bikin', 'fitur', 'premium', 'ngerepotin', 'banget']",oke aja sih cuman jujur lumayan risih video ditampilin template kadang scroll template cari bagus ketemu video udah banget tonton ga sesuai ditampilin beranda template mending kalo kali muncul udah dah muak banget mohon baik dev saran bikin fitur premium ngerepotin banget,oke aja sih cuman jujur lumayan risih video ditampilin template kadang scrol template cari bagus ketemu video udah banget tonton gak sesuai ditampilin beranda template mending kalo kali muncul udah dah muak banget mohon baik dev saran bikin fitur premium ngerepotin banget
4,"ge oleh seorang yang h, 😂👆👆😑😂😭🥺😛😂😛😀☹️🤣😔😔g🏋‍♂️🐝🐝🐝🏋‍♂️🐝🐝🐝🐝Egc, itu👉 bukan hanya bis.@ k CNNa on, unyuu ICT Iin hujan Oiya ya😏 kak o🥖 itu uy yyyyl vs vc g xD, wibi ku tak","ge oleh seorang yang h, 😂👆👆😑😂😭🥺😛😂😛😀☹️🤣😔😔g🏋‍♂️🐝🐝🐝🏋‍♂️🐝🐝🐝🐝Egc, itu👉 bukan hanya bis.@ k CNNa on, unyuu ICT Iin hujan Oiya ya😏 kak o🥖 itu uy yyyyl vs vc g xD, wibi ku tak",ge oleh seorang yang h gEgc itu bukan hanya bis k CNNa on unyuu ICT Iin hujan Oiya ya kak o itu uy yyyyl vs vc g xD wibi ku tak,ge oleh seorang yang h gegc itu bukan hanya bis k cnna on unyuu ict iin hujan oiya ya kak o itu uy yyyyl vs vc g xd wibi ku tak,"['ge', 'oleh', 'seorang', 'yang', 'h', 'gegc', 'itu', 'bukan', 'hanya', 'bis', 'k', 'cnna', 'on', 'unyuu', 'ict', 'iin', 'hujan', 'oiya', 'ya', 'kak', 'o', 'itu', 'uy', 'yyyyl', 'vs', 'vc', 'g', 'xd', 'wibi', 'ku', 'tak']","['ge', 'h', 'gegc', 'bis', 'k', 'cnna', 'on', 'unyuu', 'ict', 'iin', 'hujan', 'oiya', 'ya', 'kak', 'o', 'uy', 'yyyyl', 'vs', 'vc', 'g', 'xd', 'wibi', 'ku']",ge h gegc bis k cnna on unyuu ict iin hujan oiya ya kak o uy yyyyl vs vc g xd wibi ku,gegc bis cna unyu ict hujan oiya kak wibi
5,good,good,good,good,['good'],['good'],good,god
1,fiturnya tersedia semua namun penggunaannya hampir semua membayar dan kebanyakan iklan susah untuk mengekspor,fiturnya tersedia semua namun penggunaannya hampir semua membayar dan kebanyakan iklan susah untuk mengekspor,fiturnya tersedia semua namun penggunaannya hampir semua membayar dan kebanyakan iklan susah untuk mengekspor,fiturnya tersedia semua namun penggunaannya hampir semua membayar dan kebanyakan iklan susah untuk mengekspor,"['fiturnya', 'tersedia', 'semua', 'namun', 'penggunaannya', 'hampir', 'semua', 'membayar', 'dan', 'kebanyakan', 'iklan', 'susah', 'untuk', 'mengekspor']","['fiturnya', 'tersedia', 'penggunaannya', 'membayar', 'kebanyakan', 'iklan', 'susah', 'mengekspor']",fiturnya sedia guna bayar banyak iklan susah ekspor,fiturnya sedia guna bayar banyak iklan susah ekspor
1,gabisa di unduh padahal penyimpanan luas anj,gabisa di unduh padahal penyimpanan luas anj,gabisa di unduh padahal penyimpanan luas anj,gabisa di unduh padahal penyimpanan luas anj,"['gabisa', 'di', 'unduh', 'padahal', 'penyimpanan', 'luas', 'anj']","['gabisa', 'unduh', 'penyimpanan', 'luas', 'anj']",gabisa unduh simpan luas anj,gabisa unduh simpan luas anj
1,"aplikasi fiturnya lengkap tapi hampir SEMUA premium expor video yang dulu gampang aja sekarang dibuat premium, gapernah ada aplikasi sekikir ini sama penggunanya. belum lagi udah premium selama 7 hari yang harganya 15rb, giliran mau bayar pake telkomsel yang awalnya bisa, malah metode pembayaran ditolak. dikira semua orang punya duit di aplikasi yang lain apa? mohon masalah ini diperbaiki.","aplikasi fiturnya lengkap tapi hampir SEMUA premium expor video yang dulu gampang aja sekarang dibuat premium, gapernah ada aplikasi sekikir ini sama penggunanya. belum lagi udah premium selama 7 hari yang harganya 15rb, giliran mau bayar pake telkomsel yang awalnya bisa, malah metode pembayaran ditolak. dikira semua orang punya duit di aplikasi yang lain apa? mohon masalah ini diperbaiki.",aplikasi fiturnya lengkap tapi hampir SEMUA premium expor video yang dulu gampang aja sekarang dibuat premium gapernah ada aplikasi sekikir ini sama penggunanya belum lagi udah premium selama  hari yang harganya rb giliran mau bayar pake telkomsel yang awalnya bisa malah metode pembayaran ditolak dikira semua orang punya duit di aplikasi yang lain apa mohon masalah ini diperbaiki,aplikasi fiturnya lengkap tapi hampir semua premium expor video yang dulu gampang aja sekarang dibuat premium gapernah ada aplikasi sekikir ini sama penggunanya belum lagi udah premium selama  hari yang harganya rb giliran mau bayar pake telkomsel yang awalnya bisa malah metode pembayaran ditolak dikira semua orang punya duit di aplikasi yang lain apa mohon masalah ini diperbaiki,"['aplikasi', 'fiturnya', 'lengkap', 'tapi', 'hampir', 'semua', 'premium', 'expor', 'video', 'yang', 'dulu', 'gampang', 'aja', 'sekarang', 'dibuat', 'premium', 'gapernah', 'ada', 'aplikasi', 'sekikir', 'ini', 'sama', 'penggunanya', 'belum', 'lagi', 'udah', 'premium', 'selama', 'hari', 'yang', 'harganya', 'rb', 'giliran', 'mau', 'bayar', 'pake', 'telkomsel', 'yang', 'awalnya', 'bisa', 'malah', 'metode', 'pembayaran', 'ditolak', 'dikira', 'semua', 'orang', 'punya', 'duit', 'di', 'aplikasi', 'yang', 'lain', 'apa', 'mohon', 'masalah', 'ini', 'diperbaiki']","['aplikasi', 'fiturnya', 'lengkap', 'premium', 'expor', 'video', 'gampang', 'aja', 'premium', 'gapernah', 'aplikasi', 'sekikir', 'penggunanya', 'udah', 'premium', 'harganya', 'rb', 'giliran', 'bayar', 'pake', 'telkomsel', 'metode', 'pembayaran', 'ditolak', 'orang', 'duit', 'aplikasi', 'mohon', 'diperbaiki']",aplikasi fiturnya lengkap premium expor video gampang aja premium gapernah aplikasi kikir guna udah premium harga rb gilir bayar pake telkomsel metode bayar tolak orang duit aplikasi mohon baik,aplikasi fiturnya lengkap premium expor video gampang aja premium gapernah aplikasi kikir guna udah premium harga gilir bayar pake telkomsel metode bayar tolak orang duit aplikasi mohon baik
4,Mengapa saya tidak bisa menginstalnya,Mengapa saya tidak bisa menginstalnya,Mengapa saya tidak bisa menginstalnya,mengapa saya tidak bisa menginstalnya,"['mengapa', 'saya', 'tidak', 'bisa', 'menginstalnya']",['menginstalnya'],menginstalnya,menginstalnya
5,luar biasa menggunakan aplikasi ini sangat membantu dalam apresiasi yang kreatif positif sekali untuk mengembangkan bakat yang dimiliki setiap orang untuk mengekpresikan kehendak hati dan pikirannya,luar biasa menggunakan aplikasi ini sangat membantu dalam apresiasi yang kreatif positif sekali untuk mengembangkan bakat yang dimiliki setiap orang untuk mengekpresikan kehendak hati dan pikirannya,luar biasa menggunakan aplikasi ini sangat membantu dalam apresiasi yang kreatif positif sekali untuk mengembangkan bakat yang dimiliki setiap orang untuk mengekpresikan kehendak hati dan pikirannya,luar biasa menggunakan aplikasi ini sangat membantu dalam apresiasi yang kreatif positif sekali untuk mengembangkan bakat yang dimiliki setiap orang untuk mengekpresikan kehendak hati dan pikirannya,"['luar', 'biasa', 'menggunakan', 'aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'apresiasi', 'yang', 'kreatif', 'positif', 'sekali', 'untuk', 'mengembangkan', 'bakat', 'yang', 'dimiliki', 'setiap', 'orang', 'untuk', 'mengekpresikan', 'kehendak', 'hati', 'dan', 'pikirannya']","['aplikasi', 'membantu', 'apresiasi', 'kreatif', 'positif', 'mengembangkan', 'bakat', 'dimiliki', 'orang', 'mengekpresikan', 'kehendak', 'hati', 'pikirannya']",aplikasi bantu apresiasi kreatif positif kembang bakat milik orang mengekpresikan hendak hati pikir,aplikasi bantu apresiasi kreatif positif kembang bakat milik orang mengekpresikan hendak hati pikir
3,pas udhh di pke diaa kyak kebnyknn kgkk bisaa pke foto yg bru njiir,pas udhh di pke diaa kyak kebnyknn kgkk bisaa pke foto yg bru njiir,pas udhh di pke diaa kyak kebnyknn kgkk bisaa pke foto yg bru njiir,pas udhh di pke diaa kyak kebnyknn kgkk bisaa pke foto yg bru njiir,"['pas', 'udhh', 'di', 'pke', 'diaa', 'kyak', 'kebnyknn', 'kgkk', 'bisaa', 'pke', 'foto', 'yg', 'bru', 'njiir']","['pas', 'udhh', 'pke', 'diaa', 'kyak', 'kebnyknn', 'kgkk', 'bisaa', 'pke', 'foto', 'yg', 'bru', 'njiir']",pas udhh pke diaa kyak kebnyknn kgkk bisaa pke foto yg bru njiir,pas udh pke dia kyak kebnykn kgk bisa pke foto yang bru njir
